,Candidate,Party,Votes,Constituency
0,KONERU KONAPPA,Telangana Rashtra Samithi,83088,Telangana - Sirpur
1,DR. PALVAI HARISH BABU,Indian National Congress,59052,Telangana - Sirpur
2,DR.KOTTAPELLI SRINIVAS,Bharatiya Janata Party,6279,Telangana - Sirpur
3,RRAAVI SRINWASS,Bahujan Samaj Party,5379,Telangana - Sirpur
4,TALLAPALLI THIRUPATHI,Independent,4039,Telangana - Sirpur
5,DASARI VENKATESH,Independent,1079,Telangana - Sirpur
6,CHILAKAMMA EDLA,Pyramid Party of India,1013,Telangana - Sirpur
7,KUDAKA KISHORE,Ambedkarite Party of India,733,Telangana - Sirpur
8,GANTA PENTANNA,Independent,595,Telangana - Sirpur
9,JADI DILEEP,Bahujan Mukti Party,512,Telangana - Sirpur
10,KOTA VENKANNA,Bahujana Left Party,511,Telangana - Sirpur
11,RAMCHANDER,Peoples Republican Party,429,Telangana - Sirpur
12,None of the Above,None of the Above,1579,Telangana - Sirpur
13,BALKA SUMAN,Telangana Rashtra Samithi,71980,Telangana - Chennur 
14,VENKATESH NETHA BORLAKUNTA,Indian National Congress,43848,Telangana - Chennur 
15,SOGALA SANJEEV,Republican Party of India (Khobragade),6274,Telangana - Chennur 
16,ANDUGULA SRINIVAS,Bharatiya Janata Party,2026,Telangana - Chennur 
17,DAMUKA SURESH BABU,Independent,1492,Telangana - Chennur 
18,BOJJA RAMANA KUMARI,Pyramid Party of India,1335,Telangana - Chennur 
19,SUJATHA SUREPALLY,Bahujan Samaj Party,1200,Telangana - Chennur 
20,RAKESH REGUNTA,Nava Praja Rajyam Party,1035,Telangana - Chennur 
21,BODA JANARDHAN,Bahujana Left Party,983,Telangana - Chennur 
22,CHEEPELLI KIRAN,Independent,937,Telangana - Chennur 
23,THUNGAPINDI RAMESH,Republican Party of India (A),830,Telangana - Chennur 
24,BOJJA DASARATHAM,Independent,589,Telangana - Chennur 
25,NEELAM SURENDER,Nationalist Congress Party,516,Telangana - Chennur 
26,RAMAGIRI VIKRAM SINGH,New India Party,484,Telangana - Chennur 
27,None of the Above,None of the Above,2135,Telangana - Chennur 
28,DURGAM CHINNAIAH,Telangana Rashtra Samithi,55026,Telangana - Bellampalli
29,GADDAM VINOD,Bahujan Samaj Party,43750,Telangana - Bellampalli
30,KONDAGURLA VEDA PRAKASH,Independent,10684,Telangana - Bellampalli
31,GUNDA MALLESH,Communist Party of India,3905,Telangana - Bellampalli
32,KOYYALA EMAJI,Bharatiya Janata Party,3031,Telangana - Bellampalli
33,KRISHNA SABBANI,Bahujana Left Party,1812,Telangana - Bellampalli
34,DAGAM VISHWANATH,Independent,1801,Telangana - Bellampalli
35,DURGE MAHENDAR,Nava Praja Rajyam Party,1202,Telangana - Bellampalli
36,SAKINALA NARAYANA,Independent,1120,Telangana - Bellampalli
37,PAGIDI VENKATI,Independent,721,Telangana - Bellampalli
38,AMBALA MAHENDAR,Independent,706,Telangana - Bellampalli
39,MITTAPALLI KUMARA SWAMY,New India Party,695,Telangana - Bellampalli
40,PAGIDI RAJENDER,Aam Aadmi Party,450,Telangana - Bellampalli
41,None of the Above,None of the Above,2598,Telangana - Bellampalli
42,NADIPELLI DIWAKAR RAO,Telangana Rashtra Samithi,75360,Telangana - Mancherial
43,KOKKIRALA PREMSAGAR RAO,Indian National Congress,70512,Telangana - Mancherial
44,RAGHUNATH VERABELLI,Bharatiya Janata Party,5018,Telangana - Mancherial
45,ARE SRINIVAS,Bahujana Left Party,2190,Telangana - Mancherial
46,BERA SATHYANARAYANA,Bahujan Samaj Party,2174,Telangana - Mancherial
47,NAHEEMPASHA,Independent,2123,Telangana - Mancherial
48,CHALLAGULLA VIJAYASREE,Independent,1672,Telangana - Mancherial
49,DOMMATI RAVI KUMAR,Independent,1638,Telangana - Mancherial
50,CHEERLA SATYAM,Independent,1065,Telangana - Mancherial
51,PAYYAVULA LAXMINARAYANA,Independent,717,Telangana - Mancherial
52,AGGI BHEEMAIAH,Pyramid Party of India,560,Telangana - Mancherial
53,RANGU MALLESHAM,Independent,468,Telangana - Mancherial
54,AJMEERA LAL,Independent,343,Telangana - Mancherial
55,RASAMALLA KUMAR,Independent,250,Telangana - Mancherial
56,ALPULA BHARATHI,India Praja Bandhu Party,241,Telangana - Mancherial
57,KUAKATLA THIRUPATHI YADAV,Shiv Sena,229,Telangana - Mancherial
58,SYED AFRATH AHMED,Aam Aadmi Party,201,Telangana - Mancherial
59,KAMERA KRANTHI KUMAR,Republican Party of India (Khobragade),158,Telangana - Mancherial
60,TOGARI BANESH,New India Party,149,Telangana - Mancherial
61,MEDI NARSAIAH,Telangana Pragati Samithi,141,Telangana - Mancherial
62,MENGANI VENKATASWAMY,Independent,121,Telangana - Mancherial
63,None of the Above,None of the Above,1394,Telangana - Mancherial
64,ATHRAM SAKKU,Indian National Congress,65788,Telangana - Asifabad 
65,KOVA LAXMI,Telangana Rashtra Samithi,65617,Telangana - Asifabad 
66,AZMERA ATHMA RAO,Bharatiya Janata Party,6711,Telangana - Asifabad 
67,KOTNAKA VIJAY KUMAR,Telangana Jana Samithi,6183,Telangana - Asifabad 
68,AJMERA RAMNAIK,Bahujan Samaj Party,3629,Telangana - Asifabad 
69,ADE BALAJI,BhartiyaBahujanKranti Dal,3039,Telangana - Asifabad 
70,MUKADE VISHNU,Ambedkarite Party of India,2972,Telangana - Asifabad 
71,KURSENGA VASANTH RAO,Nava Praja Rajyam Party,1721,Telangana - Asifabad 
72,BANOVATH JAGAN,Bahujana Raajyam Party (Phule Ambedkar),1240,Telangana - Asifabad 
73,BHUKYA INDAL RAO,Independent,1175,Telangana - Asifabad 
74,None of the Above,None of the Above,2715,Telangana - Asifabad 
75,AJMERA REKHA,Telangana Rashtra Samithi,67138,Telangana - Khanapur 
76,RAMESH RATHOD,Indian National Congress,46428,Telangana - Khanapur 
77,ASHOK SATLA,Bharatiya Janata Party,23779,Telangana - Khanapur 
78,AJMEERA HARI NAIK,Bahujan Samaj Party,3553,Telangana - Khanapur 
79,THATRA BHEEMRAO,Telangana Jana Samithi,2412,Telangana - Khanapur 
80,NETHAWATH RAJENDAR,Independent,1436,Telangana - Khanapur 
81,ATHRAM BHEEM RAO,Peoples Republican Party,1251,Telangana - Khanapur 
82,THODASAM BHEEM RAO,Communist Party of India  (Marxist),863,Telangana - Khanapur 
83,PENDUR PRABHAKAR,Independent,841,Telangana - Khanapur 
84,KURSENGA ANITHA,Nava Praja Rajyam Party,685,Telangana - Khanapur 
85,TODASAM NAGORAO,Prem Janata Dal,548,Telangana - Khanapur 
86,LAVUDYA SUDHAN LAL,Telangana Prajala Party,446,Telangana - Khanapur 
87,None of the Above,None of the Above,2776,Telangana - Khanapur 
88,JOGU RAMANNA,Telangana Rashtra Samithi,74050,Telangana - Adilabad
89,PAYAL SHANKER,Bharatiya Janata Party,47444,Telangana - Adilabad
90,GANDRATH SUJATHA,Indian National Congress,32200,Telangana - Adilabad
91,KOTHAPELLY NARAYANA,Rajyadhikara Party,4125,Telangana - Adilabad
92,EERLA SATYANARAYANA,Bahujan Samaj Party,1352,Telangana - Adilabad
93,KASTALA ARUN KUMAR,Independent,954,Telangana - Adilabad
94,ANNAM DEVENDAR,Independent,838,Telangana - Adilabad
95,DATTATRI ELCHALA,Nationalist Congress Party,659,Telangana - Adilabad
96,AVULA YATHEENDRA NATH YADAV,Shiv Sena,616,Telangana - Adilabad
97,DANDE SANDEEP,Ambedkarite Party of India,573,Telangana - Adilabad
98,THOGARI RAMULU,Independent,553,Telangana - Adilabad
99,Y. SANJAY REDDY,Aam Aadmi Party,490,Telangana - Adilabad
100,KAMLE BHAGAVAN,Nava Praja Rajyam Party,454,Telangana - Adilabad
101,PENDUR MANOHAR,Gondvana Gantantra Party,336,Telangana - Adilabad
102,None of the Above,None of the Above,1149,Telangana - Adilabad
103,BAPU RAO RATHOD,Telangana Rashtra Samithi,61125,Telangana - Boath 
104,BAPU RAO SOYAM,Indian National Congress,54639,Telangana - Boath 
105,ANIL JADHAV,Independent,28206,Telangana - Boath 
106,MADAVI RAJU,Bharatiya Janata Party,4840,Telangana - Boath 
107,GAJENDER AADE,Bahujan Samaj Party,2658,Telangana - Boath 
108,KUMRAM KOTESHWAR,Nationalist Congress Party,1915,Telangana - Boath 
109,RAM CHOWHAN,Independent,1104,Telangana - Boath 
110,None of the Above,None of the Above,2275,Telangana - Boath 
111,ALLOLA INDRAKARAN REDDY,Telangana Rashtra Samithi,79985,Telangana - Nirmal
112,ALLETI MAHESHWAR REDDY,Indian National Congress,70714,Telangana - Nirmal
113,AINDLA SWARNA REDDY,Bharatiya Janata Party,16900,Telangana - Nirmal
114,SOUDANI BHUMANNA YADAV,Bahujan Samaj Party,1845,Telangana - Nirmal
115,VADLA KONDA ALIVENI,Bahujana Left Party,769,Telangana - Nirmal
116,GUMIDYALA VENKATA RAMANA,Independent,745,Telangana - Nirmal
117,MARRIPEDDA BALARAJU,Prem Janata Dal,390,Telangana - Nirmal
118,MUKHRAM ALI MOHAMMAD,Aam Aadmi Party,369,Telangana - Nirmal
119,None of the Above,None of the Above,1367,Telangana - Nirmal
120,GADDIGARI VITTAL REDDY,Telangana Rashtra Samithi,83933,Telangana - Mudhole
121,PADAKANTI RAMADEVI,Bharatiya Janata Party,40602,Telangana - Mudhole
122,RAMA RAO PATEL PAWAR,Indian National Congress,36580,Telangana - Mudhole
123,BHOSLE NARAYAN RAO PATIL,Nationalist Congress Party,6011,Telangana - Mudhole
124,ARMOOR NARSIMHA REDDY,Independent,5626,Telangana - Mudhole
125,RATHOD SUREKHA,Bahujan Samaj Party,3659,Telangana - Mudhole
126,CHELIMALWAR MAHESH,Independent,1543,Telangana - Mudhole
127,VADNAM GOVINDARAJU,Independent,1108,Telangana - Mudhole
128,KAMBLE VITTAL,Independent,918,Telangana - Mudhole
129,SHARATH SURYA VAMSHI,Independent,701,Telangana - Mudhole
130,ODNALA GANGADHAR,Prem Janata Dal,682,Telangana - Mudhole
131,PANDITRAO TAKBIDE,Shiv Sena,333,Telangana - Mudhole
132,None of the Above,None of the Above,2267,Telangana - Mudhole
133,ASHANNAGARI JEEVAN REDDY,Telangana Rashtra Samithi,72125,Telangana - Armur
134,AKULA LALITHA,Indian National Congress,43330,Telangana - Armur
135,VINAY KUMAR REDDY PRODDUTURI,Bharatiya Janata Party,19599,Telangana - Armur
136,KOMIREY SUDHAKAR,Bahujan Samaj Party,1724,Telangana - Armur
137,SUNKE SRINIVAS,Independent,728,Telangana - Armur
138,MASTHA DAYANAND,Republican Party of India (A),524,Telangana - Armur
139,SINDUKAR CHARAN KUMAR,Ambedkar National Congress,388,Telangana - Armur
140,GUNTI RAJA GANGARAM,Independent,322,Telangana - Armur
141,None of the Above,None of the Above,1657,Telangana - Armur
142,SHAKIL AAMIR MOHAMMED,Telangana Rashtra Samithi,74895,Telangana - Bodhan
143,SUDARSHAN REDDY PODDUTURI,Indian National Congress,66794,Telangana - Bodhan
144,ALJAPUR SRINIVAS,Bharatiya Janata Party,8434,Telangana - Bodhan
145,GOPI KISHAN,Shiv Sena,2425,Telangana - Bodhan
146,SINGADE PANDU,Bahujan Samaj Party,1365,Telangana - Bodhan
147,MD.NAWAZ PASHA,Independent,796,Telangana - Bodhan
148,BANJA VEERAPPA,Pyramid Party of India,677,Telangana - Bodhan
149,MOHAMMED SHARJEEL PARVEZ,Independent,615,Telangana - Bodhan
150,BANAVATH JEEVAN NAYAK,Bahujana Left Party,385,Telangana - Bodhan
151,GADDAM VIKRAM REDDY,Independent,344,Telangana - Bodhan
152,M.D.YOUSUF,Samajwadi Party,278,Telangana - Bodhan
153,None of the Above,None of the Above,1862,Telangana - Bodhan
154,HANMANTH SHINDE,Telangana Rashtra Samithi,77584,Telangana - Jukkal 
155,GANGARAM SOUDAGAR,Indian National Congress,41959,Telangana - Jukkal 
156,T. ARUNA THARA,Bharatiya Janata Party,18840,Telangana - Jukkal 
157,KARROLLA MOHAN,Independent,7727,Telangana - Jukkal 
158,LAXMAN,Bahujan Samaj Party,1764,Telangana - Jukkal 
159,BHARATH WAGHMARE,Bahujana Left Party,1102,Telangana - Jukkal 
160,G. SRINIVAS,India Praja Bandhu Party,570,Telangana - Jukkal 
161,None of the Above,None of the Above,1976,Telangana - Jukkal 
162,POCHARAM SRINIVAS REDDY (PARIGE),Telangana Rashtra Samithi,77943,Telangana - Banswada
163,KASULA BALARAJU,Indian National Congress,59458,Telangana - Banswada
164,PRAKASH NAIDU,Bharatiya Janata Party,2998,Telangana - Banswada
165,KONDANI ANJAIAH,Pyramid Party of India,2409,Telangana - Banswada
166,DR.BHEEM RAO GAIKWAD,Bahujan Samaj Party,871,Telangana - Banswada
167,M RAMESH,Independent,563,Telangana - Banswada
168,None of the Above,None of the Above,1555,Telangana - Banswada
169,JAJALA SURENDER,Indian National Congress,91510,Telangana - Yellareddy
170,EANUGU RAVINDER REDDY,Telangana Rashtra Samithi,56362,Telangana - Yellareddy
171,TALARI BALARAJU,Independent,9684,Telangana - Yellareddy
172,BANALA LAXMA REDDY,Bharatiya Janata Party,6357,Telangana - Yellareddy
173,FAZAL RAHMAN,Independent,947,Telangana - Yellareddy
174,YELLANNA YADAV PEDDA GOLLA,Samajwadi Party,537,Telangana - Yellareddy
175,VAADIKARI BALVANTH RAO,Nava Samaj Party,490,Telangana - Yellareddy
176,KAPPA SATHYAM SIDHARTH RAJ,Bahujana Left Party,376,Telangana - Yellareddy
177,None of the Above,None of the Above,2218,Telangana - Yellareddy
178,GAMPA GOVARDHAN,Telangana Rashtra Samithi,68167,Telangana - Kamareddy
179,MOHD. ALI SHABBIR,Indian National Congress,63610,Telangana - Kamareddy
180,KATIPALLY VENKATA RAMANA REDDY,Bharatiya Janata Party,15439,Telangana - Kamareddy
181,GOVARDAN M,Samajwadi Forward Bloc,10537,Telangana - Kamareddy
182,KOTHAPALLI MALLAIAH,Bahujan Samaj Party,791,Telangana - Kamareddy
183,PUTTA MALLIKARJUN,Bahujana Left Party,699,Telangana - Kamareddy
184,ARROLA NAVEEN,Independent,601,Telangana - Kamareddy
185,DUDUGU PANDURANGAM,Aam Aadmi Party,562,Telangana - Kamareddy
186,K KISHAN,Independent,351,Telangana - Kamareddy
187,None of the Above,None of the Above,1471,Telangana - Kamareddy
188,BIGALA GANESH,Telangana Rashtra Samithi,71896,Telangana - Nizamabad (Urban)
189,TAHER BIN HAMDAN,Indian National Congress,46055,Telangana - Nizamabad (Urban)
190,LAXMI NARAYANA YENDALA,Bharatiya Janata Party,24192,Telangana - Nizamabad (Urban)
191,RATNAKAR NARALA,All India Forward Bloc,2827,Telangana - Nizamabad (Urban)
192,RAMESH RASHAMALLU,Bahujan Samaj Party,1546,Telangana - Nizamabad (Urban)
193,K.V.LAXMA REDDY,Independent,754,Telangana - Nizamabad (Urban)
194,BALLA SRINIVAS,Independent,625,Telangana - Nizamabad (Urban)
195,PRASHANTHI G.,Independent,512,Telangana - Nizamabad (Urban)
196,MOHAMMED SIRAJUDDIN,Aam Aadmi Party,451,Telangana - Nizamabad (Urban)
197,MOHAMMED KHAJA MOINUDDIN,Independent,304,Telangana - Nizamabad (Urban)
198,PADAKANTI RAMU,Independent,198,Telangana - Nizamabad (Urban)
199,ABDUL RAHEEM,Samajwadi Party,175,Telangana - Nizamabad (Urban)
200,M. PRADEEP,Independent,146,Telangana - Nizamabad (Urban)
201,H.M.ISMAIL MOHAMMED,Bahujana Left Party,135,Telangana - Nizamabad (Urban)
202,PUPPALA RAVINDHAR,Independent,108,Telangana - Nizamabad (Urban)
203,SYED MUJEEBUDDIN,Ambedkar National Congress,103,Telangana - Nizamabad (Urban)
204,G SHANKAR,Independent,93,Telangana - Nizamabad (Urban)
205,VOJJA RAMESH,Pyramid Party of India,90,Telangana - Nizamabad (Urban)
206,MANCHIRALA RAGHUNATH,Telangana Prajala Party,80,Telangana - Nizamabad (Urban)
207,SHIVA PRASAD MAHAJAN,Independent,77,Telangana - Nizamabad (Urban)
208,SYED KHAISER,Independent,57,Telangana - Nizamabad (Urban)
209,None of the Above,None of the Above,855,Telangana - Nizamabad (Urban)
210,BAJI REDDY GOVERDHAN,Telangana Rashtra Samithi,87976,Telangana - Nizamabad (Rural)
211,REKULAPALLY BHOOPATHI REDDY,Indian National Congress,58330,Telangana - Nizamabad (Rural)
212,ANAND REDDY GADDAM,Bharatiya Janata Party,16467,Telangana - Nizamabad (Rural)
213,KASALA SRINIVAS,Pyramid Party of India,1652,Telangana - Nizamabad (Rural)
214,GUGLOTH BALARAJU,All India Jaihind Party,1199,Telangana - Nizamabad (Rural)
215,BAISA RAMADASU,Independent,1121,Telangana - Nizamabad (Rural)
216,DHAMMAREDDY PRADEEP REDDY,Independent,1058,Telangana - Nizamabad (Rural)
217,BB NAYAK,Independent,997,Telangana - Nizamabad (Rural)
218,MALAVATH VITHAL,Nationalist Congress Party,991,Telangana - Nizamabad (Rural)
219,NOORJAHAN,Bahujana Left Party,374,Telangana - Nizamabad (Rural)
220,GANGADHAR MACHA,Independent,301,Telangana - Nizamabad (Rural)
221,MALLE MANOJ,India Praja Bandhu Party,300,Telangana - Nizamabad (Rural)
222,None of the Above,None of the Above,2203,Telangana - Nizamabad (Rural)
223,VEMULA PRASHANTH REDDY,Telangana Rashtra Samithi,73662,Telangana - Balkonda
224,SUNIL KUMAR MUTHYALA,Bahujan Samaj Party,41254,Telangana - Balkonda
225,ANIL KUMAR ERAVATRI,Indian National Congress,30433,Telangana - Balkonda
226,RUYYADI RAJESHWAR,Bharatiya Janata Party,3097,Telangana - Balkonda
227,GUNTI BENARJI,Independent,1171,Telangana - Balkonda
228,ABDUL NAYEEM,Independent,1026,Telangana - Balkonda
229,YELIGETI MADHUKAR,Bahujana Left Party,859,Telangana - Balkonda
230,BINGIWAR RAVI,"Telangana Praja Samithi (Kishore, Rao and Kishan)",852,Telangana - Balkonda
231,SUDDAPALLY SUDHAKAR,Independent,611,Telangana - Balkonda
232,None of the Above,None of the Above,1886,Telangana - Balkonda
233,KALVAKUNTLA VIDYASAGAR RAO,Telangana Rashtra Samithi,84605,Telangana - Koratla
234,JUVVADI NARSINGA RAO,Indian National Congress,53385,Telangana - Koratla
235,DR. J N VENKAT,Bharatiya Janata Party,16046,Telangana - Koratla
236,MD. RASHEED KHAN,Samajwadi Party,3540,Telangana - Koratla
237,PUPPALA LIMBADRI,Bahujan Samaj Party,939,Telangana - Koratla
238,MADDENAPELLI RAMULU,Independent,892,Telangana - Koratla
239,VEMULAA VIKRAM REDDY,Independent,601,Telangana - Koratla
240,DAYYA RAGHU VEER,Bahujan Mukti Party,489,Telangana - Koratla
241,RAJ PAL ERRA,Bahujana Rashtra Samithi,290,Telangana - Koratla
242,JAGILAM RAMESH,Independent,259,Telangana - Koratla
243,GANNARAPU BHUMAIAH,Independent,205,Telangana - Koratla
244,AKULA HANMANDLU,Independent,189,Telangana - Koratla
245,None of the Above,None of the Above,2426,Telangana - Koratla
246,M.SANJAY KUMAR,Telangana Rashtra Samithi,104247,Telangana - Jagtial 
247,THATIPARTHI JEEVAN REDDY,Indian National Congress,43062,Telangana - Jagtial 
248,RAVINDER REDDY MUDUGANTI,Bharatiya Janata Party,4817,Telangana - Jagtial 
249,VADLAMANI SATHYANARAYANA MURTHY,Pyramid Party of India,1640,Telangana - Jagtial 
250,KAITHI SHANKAR,Bahujan Samaj Party,1276,Telangana - Jagtial 
251,KURMACHALAM UMA MAHESHWAR,All India Forward Bloc,760,Telangana - Jagtial 
252,SIRIKONDA RAVI SHANKAR,Independent,593,Telangana - Jagtial 
253,INDURI SULOCHANA,Bahujana Left Party,486,Telangana - Jagtial 
254,SABBU JAGAN,Independent,413,Telangana - Jagtial 
255,AKULA SRIKANTH KUMAR,Independent,364,Telangana - Jagtial 
256,VEMULA KARNAKAR REDDY,Independent,352,Telangana - Jagtial 
257,None of the Above,None of the Above,1710,Telangana - Jagtial 
258,ESHWAR KOPPULA,Telangana Rashtra Samithi,70579,Telangana - Dharmapuri
259,ADLURI LAXMAN KUMAR,Indian National Congress,70138,Telangana - Dharmapuri
260,KUNTALA NARSAIAH,Independent,13114,Telangana - Dharmapuri
261,KANNAM ANJAIAH,Bharatiya Janata Party,5272,Telangana - Dharmapuri
262,BURADAGUNTA SANGHA MITHRA,Independent,1259,Telangana - Dharmapuri
263,THADAGONDA NAGARAJU,Bahujan Samaj Party,1063,Telangana - Dharmapuri
264,SATHPADI PRANAY KUMAR,Jai Swaraj Party,535,Telangana - Dharmapuri
265,MADDELA RAVINDAR,Bahujana Left Party,302,Telangana - Dharmapuri
266,MOTHE NARESH,New India Party,300,Telangana - Dharmapuri
267,SANDRUGU VIJAYA KUMAR,India Praja Bandhu Party,294,Telangana - Dharmapuri
268,DUDA MAHIPAL,Naya Bharat Party,291,Telangana - Dharmapuri
269,None of the Above,None of the Above,2600,Telangana - Dharmapuri
270,KORUKANTI CHANDAR PATEL,All India Forward Bloc,61400,Telangana - Ramagundam
271,SOMARAPU SATYANARAYANA,Telangana Rashtra Samithi,34981,Telangana - Ramagundam
272,MAKKAN SINGH RAJ THAKUR,Indian National Congress,27181,Telangana - Ramagundam
273,VENKATESH MUTHYALU,Samajwadi Forward Bloc,3531,Telangana - Ramagundam
274,MERUGU SHANKAR,Bahujan Samaj Party,1797,Telangana - Ramagundam
275,VANITHA BALMURI,Bharatiya Janata Party,1553,Telangana - Ramagundam
276,LANKA ABHISHEK,Independent,826,Telangana - Ramagundam
277,MARKA VENKATESHWARLU,Independent,622,Telangana - Ramagundam
278,BURRA THIRUPATHI,Communist Party of India  (Marxist),543,Telangana - Ramagundam
279,KAMANI SAROJA,Pyramid Party of India,499,Telangana - Ramagundam
280,KAMMAGIRI KESHAIAH,Independent,465,Telangana - Ramagundam
281,JANAGAMA VENKATA RAJAM,New India Party,454,Telangana - Ramagundam
282,THOTA VENU,Telangana Prajala Party,367,Telangana - Ramagundam
283,ERIKILLA RAJESH,Independent,299,Telangana - Ramagundam
284,GAJELLI VENKATESHWARLU,Independent,294,Telangana - Ramagundam
285,BARLA RAJESH,Independent,250,Telangana - Ramagundam
286,None of the Above,None of the Above,1078,Telangana - Ramagundam
287,DUDDILLA SRIDHAR BABU,Indian National Congress,89045,Telangana - Manthani
288,PUTTA MADHUKAR,Telangana Rashtra Samithi,72815,Telangana - Manthani
289,T.NAGARJUN,Samajwadi Forward Bloc,5457,Telangana - Manthani
290,ETUKALA. MAHESH KUMAR,Bahujan Samaj Party,1876,Telangana - Manthani
291,RENDLA SANATH KUMAR,Bharatiya Janata Party,1618,Telangana - Manthani
292,CHALLA LAXMAN,Independent,1168,Telangana - Manthani
293,BOMMA BAPU.,Independent,904,Telangana - Manthani
294,MADE KUMAR SWAMY,Nationalist Congress Party,774,Telangana - Manthani
295,POLAM. RAJENDER,Bahujana Left Party,552,Telangana - Manthani
296,BOODIDHA THIRUPATHI,"Telangana Praja Samithi (Kishore, Rao and Kishan)",354,Telangana - Manthani
297,None of the Above,None of the Above,2083,Telangana - Manthani
298,MANOHAR REDDY DASARI,Telangana Rashtra Samithi,82765,Telangana - Peddapalle
299,CHINTHAKUNTA VIJAYA RAMANA RAO,Indian National Congress,74299,Telangana - Peddapalle
300,GUJJULA RAMAKRISHNA REDDY,Bharatiya Janata Party,9375,Telangana - Peddapalle
301,REDDY VENUGOPAL,Samajwadi Forward Bloc,8499,Telangana - Peddapalle
302,PONNALA SATHISH,Telangana Karmika Raithu Rajyam Party,2085,Telangana - Peddapalle
303,RAVADI  KANTHA RAO,Independent,1600,Telangana - Peddapalle
304,MANDALA KRISHNA REDDY,Independent,1038,Telangana - Peddapalle
305,MAMIDIPELLI BAPAIAH,Bahujan Samaj Party,876,Telangana - Peddapalle
306,DURGAM RAJKUMAR,Independent,870,Telangana - Peddapalle
307,SHAIK ABDUL BARI,Independent,709,Telangana - Peddapalle
308,BABAR MOHAMMED,Nationalist Congress Party,648,Telangana - Peddapalle
309,NAMPELLI SWAMY,Independent,623,Telangana - Peddapalle
310,RAJU BOMMANAVENI,All India Forward Bloc,406,Telangana - Peddapalle
311,THIRUPATHI MARAM,Samajwadi Party,283,Telangana - Peddapalle
312,NIMMALA ASHOK,India Praja Bandhu Party,277,Telangana - Peddapalle
313,SAMMAIAH GUNTIPALLI,Bahujana Left Party,265,Telangana - Peddapalle
314,AKULA SWAMY,Telangana Prajala Party,247,Telangana - Peddapalle
315,None of the Above,None of the Above,1853,Telangana - Peddapalle
316,GANGULA KAMALAKAR,Telangana Rashtra Samithi,80983,Telangana - Karimnagar 
317,BANDI SANJAY KUMAR,Bharatiya Janata Party,66009,Telangana - Karimnagar 
318,PONNAM PRABHAKAR,Indian National Congress,39500,Telangana - Karimnagar 
319,K. NAGESH,Independent,3009,Telangana - Karimnagar 
320,EDAVELLY RAMESH,Telangana Karmika Raithu Rajyam Party,1562,Telangana - Karimnagar 
321,DURVASA REDDY PAKALA,Independent,1058,Telangana - Karimnagar 
322,NAGUNOORI YELLAIAH,Independent,951,Telangana - Karimnagar 
323,T. ARUNA JYOTHI,Pyramid Party of India,724,Telangana - Karimnagar 
324,ANAGANDULA VENKANNA,Bahujan Samaj Party,709,Telangana - Karimnagar 
325,PULIKOTA RAMESH,Independent,445,Telangana - Karimnagar 
326,CHEEKOTI RAMESH,Independent,430,Telangana - Karimnagar 
327,WASEEMUDDIN AHMED,Bahujana Left Party,333,Telangana - Karimnagar 
328,SOMIDI VENU PRASAD,Shiv Sena,283,Telangana - Karimnagar 
329,KOTA SHYAM KUMAR,Independent,259,Telangana - Karimnagar 
330,BANDI SRINIVAS,Independent,246,Telangana - Karimnagar 
331,MUSKU MAHENDER REDDY,Independent,204,Telangana - Karimnagar 
332,DURGAM MOHAN,Republican Party of India,185,Telangana - Karimnagar 
333,P. SANTOSH,Independent,177,Telangana - Karimnagar 
334,MOLUMOORI DEENA DESHAI,India Praja Bandhu Party,152,Telangana - Karimnagar 
335,TEJ DEEP REDDY KOMATIREDDY,All India Forward Bloc,149,Telangana - Karimnagar 
336,KANUGULA NAVEEN KUMAR,Bahujana Rashtra Samithi,144,Telangana - Karimnagar 
337,MAMINDLA SANDEEP KUMAR,Independent,128,Telangana - Karimnagar 
338,YANAMALA MANJULA,Dalita Bahujana Party,108,Telangana - Karimnagar 
339,VURUMALLA VISHWAM,Independent,100,Telangana - Karimnagar 
340,MANETI RAJU,Independent,96,Telangana - Karimnagar 
341,None of the Above,None of the Above,982,Telangana - Karimnagar 
342,RAVI SHANKAR SUNKE,Telangana Rashtra Samithi,91090,Telangana - Choppadandi 
343,MEDIPALLY SATHYAM,Indian National Congress,48963,Telangana - Choppadandi 
344,BODIGA SHOBHA GALANNA,Bharatiya Janata Party,15835,Telangana - Choppadandi 
345,DASARI VIDYASAGAR,Independent,2222,Telangana - Choppadandi 
346,BODDU NARSAIAH,Independent,2215,Telangana - Choppadandi 
347,BOLLAMPELLY AILAIAH,Independent,1860,Telangana - Choppadandi 
348,MANDA RAVINDAR,Bahujan Samaj Party,1848,Telangana - Choppadandi 
349,AKKENAPALLY YESURATNAM,Bahujana Raajyam Party (Phule Ambedkar),861,Telangana - Choppadandi 
350,KANAKAM VAMSHI,Bahujana Left Party,551,Telangana - Choppadandi 
351,CHILUKA LINGAIAH,Marxist Communist Party of India (United),506,Telangana - Choppadandi 
352,UPPULETI LAXMAN,Independent,503,Telangana - Choppadandi 
353,BOLLI KISHAN,Bahujana Rashtra Samithi,356,Telangana - Choppadandi 
354,KANUKA RAMESH,Jai Swaraj Party,304,Telangana - Choppadandi 
355,None of the Above,None of the Above,2220,Telangana - Choppadandi 
356,RAMESH CHENNAMANENI,Telangana Rashtra Samithi,84050,Telangana - Vemulawada
