,Candidate,Party,Votes,Constituency
1712,ANIL RAIDAS (ADVOCATE),Independent,189,Madhya Pradesh - JABALPUR CANTT
1713,PRADEEP GAYAKVAR,Independent,134,Madhya Pradesh - JABALPUR CANTT
1714,ADVOCATE- VED PRAKASH PATEL,Swarnim Bharat Inquilab,121,Madhya Pradesh - JABALPUR CANTT
1715,ASHISH PAROCHE,Independent,87,Madhya Pradesh - JABALPUR CANTT
1716,DHARMENDRA KUMAR,Bhartiya Shakti Chetna Party,76,Madhya Pradesh - JABALPUR CANTT
1717,None of the Above,None of the Above,2256,Madhya Pradesh - JABALPUR CANTT
1718,TARUN BHANOT,Indian National Congress,82359,Madhya Pradesh - JABALPUR WEST
1719,"HARENDRAJEET SINGH ""BABBU""",Bharatiya Janata Party,63676,Madhya Pradesh - JABALPUR WEST
1720,ADV. DINESH KUSHWAHA,Bahujan Samaj Party,1527,Madhya Pradesh - JABALPUR WEST
1721,ASHISH SINGRHA,Aam Aadmi Party,1195,Madhya Pradesh - JABALPUR WEST
1722,PRAVEEN PANDEY (ADVOCATE),Sapaks Party,851,Madhya Pradesh - JABALPUR WEST
1723,AJAY PANDEY,Sarva Samaj Kalyan Party,616,Madhya Pradesh - JABALPUR WEST
1724,VISHNU KUMAR,Independent,506,Madhya Pradesh - JABALPUR WEST
1725,PIYUSH VERMA,Independent,388,Madhya Pradesh - JABALPUR WEST
1726,AMIN KHAN,Independent,229,Madhya Pradesh - JABALPUR WEST
1727,PANKAJ BURMAN,Bhartiya Shakti Chetna Party,219,Madhya Pradesh - JABALPUR WEST
1728,ADVOCATE  UDAY KUMAR SAHU,Bahujan Mukti Party,181,Madhya Pradesh - JABALPUR WEST
1729,ANGELINA PRASAD,Independent,171,Madhya Pradesh - JABALPUR WEST
1730,MO. WASEEM ANSARI,Gondvana Gantantra Party,131,Madhya Pradesh - JABALPUR WEST
1731,SANJAY CHAKRAWARTY,Swarnim Bharat Inquilab Party,111,Madhya Pradesh - JABALPUR WEST
1732,None of the Above,None of the Above,2632,Madhya Pradesh - JABALPUR WEST
1733,SUSHIL KUMAR TIWARI (INDU BHAIYA),Bharatiya Janata Party,84302,Madhya Pradesh - PANAGAR
1734,BHARAT SINGH YADAV,Independent,42569,Madhya Pradesh - PANAGAR
1735,SAMMATI SAINI,Indian National Congress,40629,Madhya Pradesh - PANAGAR
1736,JAWAHAR AHIRWAR,Bahujan Samaj Party,7209,Madhya Pradesh - PANAGAR
1737,RAM KRIPAL CHOUDHARY,Independent,1089,Madhya Pradesh - PANAGAR
1738,AMARESH PATEL,Aam Aadmi Party,1053,Madhya Pradesh - PANAGAR
1739,GAURI SHANKAR TIWARI RETIRED FOREST ADHIKARI,Independent,974,Madhya Pradesh - PANAGAR
1740,PURSHOTAM GONTIYA,Independent,906,Madhya Pradesh - PANAGAR
1741,SMT. RASHMI PATHAK,Sapaks Party,632,Madhya Pradesh - PANAGAR
1742,MAHENDRA YADAV,Bhartiya Shakti Chetna Party,402,Madhya Pradesh - PANAGAR
1743,ANIL KUMAR AHIRWAR,Independent,353,Madhya Pradesh - PANAGAR
1744,CHHOTE BHAI PATEL,Pichhra Samaj Party,316,Madhya Pradesh - PANAGAR
1745,RAGHVENDRA SINGH SENGAR (RAVI),Sampoorna Samaj Party,252,Madhya Pradesh - PANAGAR
1746,PRATIK PATHARIYA,Madhya Pradesh Jan Vikas Party,235,Madhya Pradesh - PANAGAR
1747,None of the Above,None of the Above,1785,Madhya Pradesh - PANAGAR
1748,SMT. NANDNI MARAVI,Bharatiya Janata Party,73312,Madhya Pradesh - SIHORA
1749,KHILADI SINGH AARMO,Indian National Congress,66489,Madhya Pradesh - SIHORA
1750,SMT. BABITA GAUTIYA,Bahujan Samaj Party,6028,Madhya Pradesh - SIHORA
1751,MAAHU SINGH PARASTE,Gondvana Gantantra Party,5937,Madhya Pradesh - SIHORA
1752,SANJAY KUMAR KOL,Sapaks Party,2464,Madhya Pradesh - SIHORA
1753,ANOD SINGH BAIGA,Bhartiya Shakti Chetna Party,1408,Madhya Pradesh - SIHORA
1754,PRIYA SINGH THAKUR,Aam Aadmi Party,1224,Madhya Pradesh - SIHORA
1755,None of the Above,None of the Above,4620,Madhya Pradesh - SIHORA
1756,BHOOPENDRA MARAVI (BABLU),Indian National Congress,88687,Madhya Pradesh - SHAHPURA 
1757,OMPRAKASH DHURWEY,Bharatiya Janata Party,54727,Madhya Pradesh - SHAHPURA 
1758,RANJEET SINGH MARAVI,Gondvana Gantantra Party,30955,Madhya Pradesh - SHAHPURA 
1759,AMAR SINGH MARKO,Aam Aadmi Party,6130,Madhya Pradesh - SHAHPURA 
1760,ANEK SINGH MARAVI,Independent,2931,Madhya Pradesh - SHAHPURA 
1761,GAWLU SINGH MARKAM,Bahujan Samaj Party,2586,Madhya Pradesh - SHAHPURA 
1762,SHAMBHU SINGH MARAVI,Independent,1988,Madhya Pradesh - SHAHPURA 
1763,None of the Above,None of the Above,6543,Madhya Pradesh - SHAHPURA 
1764,OMKAR SINGH MARKAM,Indian National Congress,85039,Madhya Pradesh - DINDORI 
1765,JAY SINGH MARAVI,Bharatiya Janata Party,52989,Madhya Pradesh - DINDORI 
1766,GANGA SINGH PATTA,Gondvana Gantantra Party,28274,Madhya Pradesh - DINDORI 
1767,BHUDESHWAR BANWASI,Bhartiya Shakti Chetna Party,7341,Madhya Pradesh - DINDORI 
1768,SUNARAM NAWASIYA,Shiv Sena,2376,Madhya Pradesh - DINDORI 
1769,PANKAJ KUMAR PATTA,Aam Aadmi Party,1930,Madhya Pradesh - DINDORI 
1770,SITAR MARKAM,Bahujan Samaj Party,1528,Madhya Pradesh - DINDORI 
1771,KEHAR SINGH VARME,Sapaks Party,1249,Madhya Pradesh - DINDORI 
1772,None of the Above,None of the Above,4940,Madhya Pradesh - DINDORI 
1773,NARAYAN SINGH PATTA,Indian National Congress,76544,Madhya Pradesh - BICHHIYA 
1774,"DR. SHIVRAJ SHAH ""SHIVA BHAIYA""",Bharatiya Janata Party,55156,Madhya Pradesh - BICHHIYA 
1775,ENGINEER KAMLESH TEKAM,Gondvana Gantantra Party,32417,Madhya Pradesh - BICHHIYA 
1776,SAVITRI DHUMKETI,Independent,4777,Madhya Pradesh - BICHHIYA 
1777,SUNDER LAL KUMHARE,Bahujan Samaj Party,1992,Madhya Pradesh - BICHHIYA 
1778,ASHOK SHAH DHURWEY (PANDA),Aam Aadmi Party,1903,Madhya Pradesh - BICHHIYA 
1779,NARESH DHURWEY,Independent,1880,Madhya Pradesh - BICHHIYA 
1780,SAMARU,Independent,1493,Madhya Pradesh - BICHHIYA 
1781,AMAR SINGH PATTAVI,Independent,1171,Madhya Pradesh - BICHHIYA 
1782,LAL SINGH,Independent,1026,Madhya Pradesh - BICHHIYA 
1783,SONU LAL MARAWI,Sapaks Party,1010,Madhya Pradesh - BICHHIYA 
1784,POORAN SINGH,Shiv Sena,969,Madhya Pradesh - BICHHIYA 
1785,"CHANDRA PRAKASH SIRSAM ""BUNTY SINGH""",Rashtriya Gondvana Party,829,Madhya Pradesh - BICHHIYA 
1786,None of the Above,None of the Above,5915,Madhya Pradesh - BICHHIYA 
1787,DR ASHOK MARSKOLE,Indian National Congress,91007,Madhya Pradesh - NIWAS 
1788,RAMPYARE KULASTE,Bharatiya Janata Party,62692,Madhya Pradesh - NIWAS 
1789,RAMMU LAL KULASTE,Gondvana Gantantra Party,21852,Madhya Pradesh - NIWAS 
1790,ANITA UIKEY,Bahujan Samaj Party,3715,Madhya Pradesh - NIWAS 
1791,RAJKUMAR MARAWI,Sapaks Party,2763,Madhya Pradesh - NIWAS 
1792,GHANSHYAM KUDAPE,Independent,2483,Madhya Pradesh - NIWAS 
1793,None of the Above,None of the Above,5327,Madhya Pradesh - NIWAS 
1794,DEOSINGH SAIYAM,Bharatiya Janata Party,88873,Madhya Pradesh - MANDLA 
1795,PROF. SANJEEV CHHOTELAL UIKEY,Indian National Congress,76668,Madhya Pradesh - MANDLA 
1796,KISHAN LAL UIKEY,Gondvana Gantantra Party,16746,Madhya Pradesh - MANDLA 
1797,MANOJ GONTIYA,Sapaks Party,2580,Madhya Pradesh - MANDLA 
1798,PREMLAL WORKADE (RET. S.D.M.),Aam Aadmi Party,2465,Madhya Pradesh - MANDLA 
1799,LAXMAN(LACHHI RAM) UIKEY,Bahujan Samaj Party,2217,Madhya Pradesh - MANDLA 
1800,None of the Above,None of the Above,3642,Madhya Pradesh - MANDLA 
1801,SANJAY UIKEY,Indian National Congress,79399,Madhya Pradesh - BAIHAR 
1802,ANUPAMA NETAM,Bharatiya Janata Party,62919,Madhya Pradesh - BAIHAR 
1803,THAKUR GOPAL SINGH KUSHARE,Gondvana Gantantra Party,16994,Madhya Pradesh - BAIHAR 
1804,ASHOK MASIH DHURWEY,Communist Party of India,1900,Madhya Pradesh - BAIHAR 
1805,DILAN SINGH KODAPE,Aam Aadmi Party,1777,Madhya Pradesh - BAIHAR 
1806,BAIRAGSINGH TEKAM,Bahujan Samaj Party,1575,Madhya Pradesh - BAIHAR 
1807,DHARAMSINGH MARKAM,Peoples Party of India (Democratic),1535,Madhya Pradesh - BAIHAR 
1808,SUNIL TEKAM,Independent,1312,Madhya Pradesh - BAIHAR 
1809,SMT. URMILA NANDLAL UIKEY,Independent,1009,Madhya Pradesh - BAIHAR 
1810,None of the Above,None of the Above,5249,Madhya Pradesh - BAIHAR 
1811,HINA LIKHIRAM KAWRE,Indian National Congress,90382,Madhya Pradesh - LANJI 
1812,RAMESH DEELIP BHATERE,Bharatiya Janata Party,71686,Madhya Pradesh - LANJI 
1813,MIRA NANAJI SAMRITE,Bahujan Samaj Party,5608,Madhya Pradesh - LANJI 
1814,ANARAM DHOK,Gondvana Gantantra Party,4671,Madhya Pradesh - LANJI 
1815,VIJAY BISEN (MANISH),Independent,2668,Madhya Pradesh - LANJI 
1816,KAMALPRASAD MANDALWAR,Independent,2585,Madhya Pradesh - LANJI 
1817,CHUNNELAL SUDHARAM HARADE,Independent,2530,Madhya Pradesh - LANJI 
1818,NARENDRA JAMRE,Peoples Party of India (Democratic),2198,Madhya Pradesh - LANJI 
1819,GAUTAM BHIMTE,Independent,1122,Madhya Pradesh - LANJI 
1820,HEERALAL PANCHE,Aam Aadmi Party,910,Madhya Pradesh - LANJI 
1821,AMRUTLAL AWASRE (AMIT AWASARE),Independent,557,Madhya Pradesh - LANJI 
1822,RAJKUMAR NAGESHWAR,Bharatiya Republican Paksha,539,Madhya Pradesh - LANJI 
1823,AJAY SARI SELLER,Independent,536,Madhya Pradesh - LANJI 
1824,KARAN SINGH NAGPURE,Bahujan Mukti Party,464,Madhya Pradesh - LANJI 
1825,None of the Above,None of the Above,1769,Madhya Pradesh - LANJI 
1826,RAM KISHOR (NANO) KAWRE,Bharatiya Janata Party,57395,Madhya Pradesh - PARASWADA
1827,KANKAR MUNJARE,Samajwadi Party,47787,Madhya Pradesh - PARASWADA
1828,MADHU BHAGAT,Indian National Congress,47476,Madhya Pradesh - PARASWADA
1829,MUKESH BOUDDH,Bahujan Samaj Party,3886,Madhya Pradesh - PARASWADA
1830,SHIV JAISWAL,Independent,3207,Madhya Pradesh - PARASWADA
1831,ASHOK KUMAR MANDLEKAR,Sanjhi Virasat Party,2341,Madhya Pradesh - PARASWADA
1832,NARASRAM SAIYYAM,Aam Aadmi Party,1437,Madhya Pradesh - PARASWADA
1833,DINESH DHURWEY (D.C.),Rashtriya Gondvana Party,792,Madhya Pradesh - PARASWADA
1834,DOMESHWAR (MUNNA) BISEN,Independent,752,Madhya Pradesh - PARASWADA
1835,AKASH BHARDWAJ,Bhartiya Shakti Chetna Party,750,Madhya Pradesh - PARASWADA
1836,MOHAN LAL BARMAN URF RANGOPATH BABA,Independent,693,Madhya Pradesh - PARASWADA
1837,SAMIM KHAN S/O HANIF KHAN,Independent,678,Madhya Pradesh - PARASWADA
1838,RUPLAL SAMAJ SEVAK,Independent,629,Madhya Pradesh - PARASWADA
1839,GENDLAL SIVNE(DAHARWAL),Independent,337,Madhya Pradesh - PARASWADA
1840,VISHNU ARMO (GURUJI),India Praja Bandhu Party,304,Madhya Pradesh - PARASWADA
1841,None of the Above,None of the Above,2110,Madhya Pradesh - PARASWADA
1842,GAURISHANKER CHATURBHUJ BISEN,Bharatiya Janata Party,73476,Madhya Pradesh - BALAGHAT 
1843,ANUBHA MUNJARE,Samajwadi Party,45822,Madhya Pradesh - BALAGHAT 
1844,VISHVESHWAR  BHAGAT,Indian National Congress,28701,Madhya Pradesh - BALAGHAT 
1845,ANURAG CHATURMOHTA (MONTU BHAIYA),Independent,17113,Madhya Pradesh - BALAGHAT 
1846,YOGESH SAMRITE,Bahujan Samaj Party,2704,Madhya Pradesh - BALAGHAT 
1847,MANORAMA NAGESHWAR,Independent,1486,Madhya Pradesh - BALAGHAT 
1848,SHYAM MOHAN MATHRE (KAKA),Independent,855,Madhya Pradesh - BALAGHAT 
1849,MANISHA NANU VAIDYA,Sapaks Party,728,Madhya Pradesh - BALAGHAT 
1850,BABULAL PITA SUKHLAL BHAGAT,Independent,677,Madhya Pradesh - BALAGHAT 
1851,DEEPAK KUMAR PATLE,Independent,545,Madhya Pradesh - BALAGHAT 
1852,DEEPAK KUMAR PINCHA,Independent,518,Madhya Pradesh - BALAGHAT 
1853,AFSANA KHAN,Aam Aadmi Party,503,Madhya Pradesh - BALAGHAT 
1854,ADVOCATE SATYAPRAKASH SHULKE,Madhya Pradesh Jan Vikas Party,377,Madhya Pradesh - BALAGHAT 
1855,KIRAN MADAVI,Independent,329,Madhya Pradesh - BALAGHAT 
1856,JITENDRA GOYAL (JITU),Bahujan Mukti Party,173,Madhya Pradesh - BALAGHAT 
1857,SHANKAR  KANSARE,Peoples Party of India (Democratic),171,Madhya Pradesh - BALAGHAT 
1858,HARICHAND MAHURE,Independent,142,Madhya Pradesh - BALAGHAT 
1859,SHABANA SAMIM ANSARI,Samata Samadhan Party,133,Madhya Pradesh - BALAGHAT 
1860,None of the Above,None of the Above,861,Madhya Pradesh - BALAGHAT 
1861,PRADEEP AMRATLAL JAISWAL (GUDDA),Independent,57783,Madhya Pradesh - WARASEONI
1862,DR YOGENDRA NIRMAL,Bharatiya Janata Party,53921,Madhya Pradesh - WARASEONI
1863,AJAY RAMKUMAR NAGPURE,Bahujan Samaj Party,21394,Madhya Pradesh - WARASEONI
1864,SANJAY SINGH MASANI,Indian National Congress,11785,Madhya Pradesh - WARASEONI
1865,GANIRAM NAGPURE,Independent,2799,Madhya Pradesh - WARASEONI
1866,MR GANESH KUMAR SHRIRAM KUMARE,Gondvana Gantantra Party,1500,Madhya Pradesh - WARASEONI
1867,MUKESH BANSOD,Independent,1294,Madhya Pradesh - WARASEONI
1868,SANTOSH KUMAR MANDALWAR,Communist Party of India  (Marxist),776,Madhya Pradesh - WARASEONI
1869,DHANENDRA KANOJE DHANNU BHAIYA,Independent,693,Madhya Pradesh - WARASEONI
1870,GAURAVSINGH PARDHI,Independent,579,Madhya Pradesh - WARASEONI
1871,DHI SANTOSH CHOURE,Ambedkarite Party of India,499,Madhya Pradesh - WARASEONI
1872,"NIRDOSH BISEN ""ADVOCATE""",Aam Aadmi Party,373,Madhya Pradesh - WARASEONI
1873,DR. A. R. SINGADE,Peoples Party of India (Democratic),248,Madhya Pradesh - WARASEONI
1874,None of the Above,None of the Above,1560,Madhya Pradesh - WARASEONI
1875,TAMLAL RAGHUJI SAHARE,Indian National Congress,69967,Madhya Pradesh - KATANGI
1876,K.D. DESHMUKH,Bharatiya Janata Party,58217,Madhya Pradesh - KATANGI
1877,AJABSHASTRI,Bahujan Samaj Party,10104,Madhya Pradesh - KATANGI
1878,UDAYSINGH PANCHESHWAR GURUJI,Independent,3297,Madhya Pradesh - KATANGI
1879,BHOUNENDRA MISHRILAL DAHARWAL,Independent,2239,Madhya Pradesh - KATANGI
1880,ANJU VIJAY SHARMA,Shiv Sena,1318,Madhya Pradesh - KATANGI
1881,MISHRILAL URF SANJAY BISEN,Independent,1176,Madhya Pradesh - KATANGI
1882,SADASHIV HARINKHEDE,Independent,1052,Madhya Pradesh - KATANGI
1883,NEERAJ KUMAR MANKAR,Independent,955,Madhya Pradesh - KATANGI
1884,GUNARAM BAGHELE,Independent,807,Madhya Pradesh - KATANGI
1885,PRADIP NAGPURE,Ambedkarite Party of India,646,Madhya Pradesh - KATANGI
1886,DHARMENDRA SINGH THAKUR,Independent,509,Madhya Pradesh - KATANGI
1887,G.L.G. TANDEKAR,Independent,391,Madhya Pradesh - KATANGI
1888,RAMCHARAN NAGRE,Independent,344,Madhya Pradesh - KATANGI
1889,ALKA ANAND MULKRAJ,Independent,286,Madhya Pradesh - KATANGI
1890,SANDEEP BOPCHE,Bharatiya Republican Paksha,267,Madhya Pradesh - KATANGI
1891,DEEPAK KUMAR CHOUDHARY,"Proutist Bloc, India",259,Madhya Pradesh - KATANGI
1892,SHRIMATI RUKHMANI NAG (UIKEY),Aam Aadmi Party,210,Madhya Pradesh - KATANGI
1893,None of the Above,None of the Above,913,Madhya Pradesh - KATANGI
1894,"""ARJUN SINGH""",Indian National Congress,90053,Madhya Pradesh - BARGHAT
1895,NARESH WARKADE,Bharatiya Janata Party,82526,Madhya Pradesh - BARGHAT
1896,SHRISHYAM DHURVEY,Gondvana Gantantra Party,6320,Madhya Pradesh - BARGHAT
1897,SHASHI/KISHORI BHALAVI,Bahujan Samaj Party,2359,Madhya Pradesh - BARGHAT
1898,ANIL SALLAM,Communist Party of India  (Marxist),1755,Madhya Pradesh - BARGHAT
1899,NEPAL SINGH UIKEY,Independent,1602,Madhya Pradesh - BARGHAT
1900,NARENDRA KUNJAM,Aam Aadmi Party,1066,Madhya Pradesh - BARGHAT
1901,None of the Above,None of the Above,2372,Madhya Pradesh - BARGHAT
1902,DINESH RAI MUNMUN,Bharatiya Janata Party,99576,Madhya Pradesh - SEONI
1903,MOHAN SINGH CHANDEL,Indian National Congress,77568,Madhya Pradesh - SEONI
1904,GAYA PRASAD KUMRE,Gondvana Gantantra Party,6066,Madhya Pradesh - SEONI
1905,MAKBOOL SHAH,Independent,2536,Madhya Pradesh - SEONI
1906,TANVIR KHAN,Independent,2314,Madhya Pradesh - SEONI
1907,D.D. WASNIK,Communist Party of India,2038,Madhya Pradesh - SEONI
1908,AHMAD SHAEED QURESHI,Bahujan Samaj Party,1392,Madhya Pradesh - SEONI
1909,M. RAHMAN,Independent,1210,Madhya Pradesh - SEONI
1910,HEMANT KUMAR SHRIVAS (JITTU BHAIYA),Independent,1143,Madhya Pradesh - SEONI
1911,RAJENDRA GUPTA 'TAKSHAK',Independent,1030,Madhya Pradesh - SEONI
1912,GOVIND SHRIVAS BHAIYA SARKAR,Independent,984,Madhya Pradesh - SEONI
1913,KAMLESHWAR PRASAD DIXIT,Sapaks Party,832,Madhya Pradesh - SEONI
1914,RAGHUVIR SINGH SANODIYA,Aam Aadmi Party,675,Madhya Pradesh - SEONI
1915,UMESH KUMAR JAIN,Shiv Sena,569,Madhya Pradesh - SEONI
1916,KUNWAR SINGH BHALAVI,Independent,502,Madhya Pradesh - SEONI
1917,SULEMAN KADRI,Bahujan Mukti Party,477,Madhya Pradesh - SEONI
1918,OAMKAR,Independent,470,Madhya Pradesh - SEONI
1919,NARESH  CHOURASIYA(BABLU),India Praja Bandhu Party,309,Madhya Pradesh - SEONI
1920,RAJARAM YADAV,Independent,307,Madhya Pradesh - SEONI
1921,None of the Above,None of the Above,769,Madhya Pradesh - SEONI
1922,RAKESH PAL SINGH,Bharatiya Janata Party,85839,Madhya Pradesh - KEOLARI
1923,RAJNEESH HARVANSH SINGH,Indian National Congress,79160,Madhya Pradesh - KEOLARI
1924,RAJENDRA RAI,Gondvana Gantantra Party,21694,Madhya Pradesh - KEOLARI
1925,SHEAKH MUSTUFA (EHSAN) ANSARI,Independent,2014,Madhya Pradesh - KEOLARI
1926,SWARN REKHA,Independent,1790,Madhya Pradesh - KEOLARI
1927,MOHAN GADKARI,Bahujan Mukti Party,1449,Madhya Pradesh - KEOLARI
1928,CHANDRAKALA MOHAN MARAR,Bahujan Samaj Party,1435,Madhya Pradesh - KEOLARI
1929,SHRAVAN KAPOOR (DEVI PRASAD SAHU),Aam Aadmi Party,1006,Madhya Pradesh - KEOLARI
1930,TARIK BHAI,Independent,789,Madhya Pradesh - KEOLARI
1931,DEEPAK KUMAR,Independent,771,Madhya Pradesh - KEOLARI
1932,SHIREEN KACHWAHA (RENU),Sapaks Party,524,Madhya Pradesh - KEOLARI
1933,CHAMARU,Independent,500,Madhya Pradesh - KEOLARI
1934,None of the Above,None of the Above,2125,Madhya Pradesh - KEOLARI
1935,"YOGENDRA SINGH ""BABA""",Indian National Congress,82951,Madhya Pradesh - LAKHANADON 
1936,VIJAY KUMAR UIKEY,Bharatiya Janata Party,70675,Madhya Pradesh - LAKHANADON 
1937,INDER SINGH UIKEY,Gondvana Gantantra Party,40022,Madhya Pradesh - LAKHANADON 
1938,SANTRAM KANHAIRIYA,Aam Aadmi Party,3331,Madhya Pradesh - LAKHANADON 
1939,SHOBHARAM BHALAVI,Ambedkarite Party of India,3294,Madhya Pradesh - LAKHANADON 
1940,KAMLESH JALSO UIKEY,Bahujan Samaj Party,2843,Madhya Pradesh - LAKHANADON 
1941,RAVINDRA SINGH UIKEY,Bharatiya Sampuran Krantikari Party,1685,Madhya Pradesh - LAKHANADON 
1942,JABAB SINGH UIKEY,Bahujan Mukti Party,1497,Madhya Pradesh - LAKHANADON 
1943,None of the Above,None of the Above,3917,Madhya Pradesh - LAKHANADON 
1944,NARMADA PRASAD PRAJAPATI (N.P.),Indian National Congress,79289,Madhya Pradesh - GOTEGAON
1945,DR. KAILASH JATAV,Bharatiya Janata Party,66706,Madhya Pradesh - GOTEGAON
1946,SURESH KUMAR MEHRA,Gondvana Gantantra Party,2584,Madhya Pradesh - GOTEGAON
1947,MAHESH PRASAD CHOUDHARY,Aam Aadmi Party,2109,Madhya Pradesh - GOTEGAON
1948,JAGDISH CHOUDHARY (BEDU WALE),Bahujan Samaj Party,2071,Madhya Pradesh - GOTEGAON
1949,PRAMOD JHARIYA (TIGER),Independent,1704,Madhya Pradesh - GOTEGAON
1950,VIRENDRA SINGH,Sapaks Party,914,Madhya Pradesh - GOTEGAON
1951,BALARAM AHIRWAR,Independent,895,Madhya Pradesh - GOTEGAON
1952,None of the Above,None of the Above,3121,Madhya Pradesh - GOTEGAON
1953,"JALAM SINGH PATEL ""MUNNA BHAIYA""",Bharatiya Janata Party,87837,Madhya Pradesh - NARSINGPUR
1954,LAKHAN SINGH PATEL,Indian National Congress,72934,Madhya Pradesh - NARSINGPUR
1955,"AMAR NORIYA ""PATRKAR""",Nirbal Indian Shoshit Hamara Aam Dal,2154,Madhya Pradesh - NARSINGPUR
1956,JHABBULAL AHIRWAR (MAJOR),Bahujan Samaj Party,1529,Madhya Pradesh - NARSINGPUR
1957,AMITA RAGHUWANSHI,Independent,1385,Madhya Pradesh - NARSINGPUR
1958,JALAM SINGH PATEL,Independent,811,Madhya Pradesh - NARSINGPUR
1959,DEVENDRA DUBEY,Sapaks Party,778,Madhya Pradesh - NARSINGPUR
1960,ER. YOGESH SINGH KUSHWAHA,Rashtriya Lok Samta Party,558,Madhya Pradesh - NARSINGPUR
1961,BABULAL PATEL,Aam Aadmi Party,517,Madhya Pradesh - NARSINGPUR
1962,MUKESH BHALAVI,Gondvana Gantantra Party,406,Madhya Pradesh - NARSINGPUR
1963,MASTRAM ALIAS KAILASH LODHI,Bhartiya Shakti Chetna Party,275,Madhya Pradesh - NARSINGPUR
1964,None of the Above,None of the Above,3293,Madhya Pradesh - NARSINGPUR
1965,"SANJAY SHARMA ""SANJU BHAIYA""",Indian National Congress,70127,Madhya Pradesh - TENDUKHEDA 
1966,"VISHWANATH SINGH ""MULAM BHAIYA""",Bharatiya Janata Party,61484,Madhya Pradesh - TENDUKHEDA 
1967,"CHANDRAMOHAN ""BABLU KAHAR""",Nirbal Indian Shoshit Hamara Aam Dal,2120,Madhya Pradesh - TENDUKHEDA 
1968,NARESH JATAV,Independent,2007,Madhya Pradesh - TENDUKHEDA 
1969,MUKESH MISHRA,Independent,1634,Madhya Pradesh - TENDUKHEDA 
1970,KUNDANLAL SURYAVANSHI,Bahujan Samaj Party,1344,Madhya Pradesh - TENDUKHEDA 
1971,PREMNARAYAN KOURAV,Aam Aadmi Party,727,Madhya Pradesh - TENDUKHEDA 
1972,None of the Above,None of the Above,1637,Madhya Pradesh - TENDUKHEDA 
1973,SUNEETA PATEL,Indian National Congress,79342,Madhya Pradesh - GADARWARA
1974,GAUTAM SINGH PATEL,Bharatiya Janata Party,63979,Madhya Pradesh - GADARWARA
1975,ARYA RAVI PARIHAR,Independent,2224,Madhya Pradesh - GADARWARA
1976,OMSHANKAR SINGH RAJPUT,Bhartiya Shakti Chetna Party,1708,Madhya Pradesh - GADARWARA
1977,REWARAM PARANCHEY,Gondvana Gantantra Party,1634,Madhya Pradesh - GADARWARA
1978,RAJARAM BAGHEL,Bahujan Samaj Party,1141,Madhya Pradesh - GADARWARA
1979,RAKESH CHOUKSEY,Independent,813,Madhya Pradesh - GADARWARA
1980,CHHELA BABU (TEJRAM),Nirbal Indian Shoshit Hamara Aam Dal,523,Madhya Pradesh - GADARWARA
1981,REENA LAMANIYA,Aam Aadmi Party,493,Madhya Pradesh - GADARWARA
1982,KAPIL DUBEY BABLU MAHARAJ,Shiv Sena,404,Madhya Pradesh - GADARWARA
1983,RAJESH AHIRWAR,Bahujan Sangharshh Dal,312,Madhya Pradesh - GADARWARA
1984,None of the Above,None of the Above,3759,Madhya Pradesh - GADARWARA
1985,SUNIL UIKEY,Indian National Congress,78573,Madhya Pradesh - JUNNARDEO
1986,ASHISH JHANAK LAL THAKUR,Bharatiya Janata Party,55885,Madhya Pradesh - JUNNARDEO
1987,JHAMAK LAL SARYAM,Gondvana Gantantra Party,19369,Madhya Pradesh - JUNNARDEO
1988,KALANG SING UIKE,Aam Aadmi Party,3482,Madhya Pradesh - JUNNARDEO
1989,MOHAN UIKEY,Independent,2398,Madhya Pradesh - JUNNARDEO
1990,RAJUSINGH KAYDA,Bahujan Samaj Party,2109,Madhya Pradesh - JUNNARDEO
1991,SAGAN AHAKE,Independent,1532,Madhya Pradesh - JUNNARDEO
1992,GANESH KUMRE,Independent,1342,Madhya Pradesh - JUNNARDEO
1993,DINESH IVNATI JI,Independent,998,Madhya Pradesh - JUNNARDEO
1994,None of the Above,None of the Above,6245,Madhya Pradesh - JUNNARDEO
1995,KAMLESH PRATAP SHAH,Indian National Congress,71662,Madhya Pradesh - AMARWARA
1996,MANMOHAN SHAH BATTI,Gondvana Gantantra Party,61269,Madhya Pradesh - AMARWARA
1997,PREMNARAYAN THAKUR,Bharatiya Janata Party,53499,Madhya Pradesh - AMARWARA
1998,KALLULAL UIKEY,Independent,3408,Madhya Pradesh - AMARWARA
1999,VINITA AMODIYA,Independent,2294,Madhya Pradesh - AMARWARA
2000,SUMRAN UIKEY,Bahujan Samaj Party,2099,Madhya Pradesh - AMARWARA
2001,GALIRAM BADIVA,Independent,1529,Madhya Pradesh - AMARWARA
2002,None of the Above,None of the Above,5910,Madhya Pradesh - AMARWARA
2003,CHOUDHARY SUJEET MER SINGH,Indian National Congress,78415,Madhya Pradesh - CHOURAI
2004,PT. RAMESH DUBEY,Bharatiya Janata Party,65411,Madhya Pradesh - CHOURAI
2005,JAY PAL UIKE,Gondvana Gantantra Party,12551,Madhya Pradesh - CHOURAI
2006,RAJENDRA SINGH RAGHUWANSHI,Independent,2582,Madhya Pradesh - CHOURAI
2007,LODHI VIPIN VERMA,Independent,1900,Madhya Pradesh - CHOURAI
