,Candidate,Party,Votes,Constituency
362,BRIJENDRA SINGH OLA,Indian National Congress,76177,Rajasthan - Jhunjhunu
363,RAJENDRA SINGH BHAMBOO,Bharatiya Janata Party,35612,Rajasthan - Jhunjhunu
364,NISHEET KUMAR ALIAS BABLU CHOUDHARY,Independent,29410,Rajasthan - Jhunjhunu
365,YASHWARDHAN SINGH,Independent,12007,Rajasthan - Jhunjhunu
366,RAJESH,Bahujan Samaj Party,5933,Rajasthan - Jhunjhunu
367,DALIP,Independent,2006,Rajasthan - Jhunjhunu
368,RAJKUMAR MOOND,Aam Aadmi Party,1900,Rajasthan - Jhunjhunu
369,RAJENDRA FAUJI,Rashtriya Loktantrik Party,1598,Rajasthan - Jhunjhunu
370,MAHESH KUMAR,Abhinav Rajasthan Party,621,Rajasthan - Jhunjhunu
371,VIJENDRA SINGH,Independent,570,Rajasthan - Jhunjhunu
372,SANJAY,Independent,529,Rajasthan - Jhunjhunu
373,BHIM SINGH,Independent,412,Rajasthan - Jhunjhunu
374,TEJA RAM,Independent,299,Rajasthan - Jhunjhunu
375,GURU GOKUL CHAND RASHTARWADI,Independent,296,Rajasthan - Jhunjhunu
376,RAMESH KUMAR,Independent,246,Rajasthan - Jhunjhunu
377,None of the Above,None of the Above,1580,Rajasthan - Jhunjhunu
378,NARENDRA KUMAR,Bharatiya Janata Party,80599,Rajasthan - Mandawa
379,KUM. RITA  CHOUDHARY,Indian National Congress,78253,Rajasthan - Mandawa
380,ANWAR ALI KHAN,Bahujan Samaj Party,3228,Rajasthan - Mandawa
381,MAHENDRA KUMAR DHAYAL,Abhinav Rajasthan Party,720,Rajasthan - Mandawa
382,JAGDEEP,Independent,642,Rajasthan - Mandawa
383,SHUBHAKARAN SINGH,Aam Aadmi Party,577,Rajasthan - Mandawa
384,NARENDRA SINGH,Independent,517,Rajasthan - Mandawa
385,None of the Above,None of the Above,908,Rajasthan - Mandawa
386,DR. RAJKUMAR SHARMA,Indian National Congress,79570,Rajasthan - Nawalgarh
387,RAVI SAINI,Bharatiya Janata Party,43070,Rajasthan - Nawalgarh
388,VIKRAM SINGH JAKHAL,Independent,39259,Rajasthan - Nawalgarh
389,PRATIBHA SINGH,Rashtriya Loktantrik Party,9610,Rajasthan - Nawalgarh
390,RAM AVTAR NARNOLIA,Bahujan Samaj Party,5382,Rajasthan - Nawalgarh
391,SANJAY BASOTIA,Independent,1761,Rajasthan - Nawalgarh
392,HEM KANWAR,Independent,1190,Rajasthan - Nawalgarh
393,SANJAY KUMAR POONIA,Bahujan Mukti Party,1144,Rajasthan - Nawalgarh
394,VIJENDRA SINGH,Aam Aadmi Party,1118,Rajasthan - Nawalgarh
395,MOHAMMAD ASLAM NAGORI,Independent,936,Rajasthan - Nawalgarh
396,VIJENDRA KUMAR SONKARIA,Ambedkarite Party of India,502,Rajasthan - Nawalgarh
397,ARUN KUMAR,Independent,499,Rajasthan - Nawalgarh
398,RASHID KHAN,Bharatiya Yuva Shakti,410,Rajasthan - Nawalgarh
399,ASHOK KUMAR,Independent,246,Rajasthan - Nawalgarh
400,MUKESH KUMAR,Independent,205,Rajasthan - Nawalgarh
401,None of the Above,None of the Above,1475,Rajasthan - Nawalgarh
402,RAJENDRASINGH GUDHA,Bahujan Samaj Party,59362,Rajasthan - Udaipurwati
403,SHUBHKARAN CHOUDHARY,Bharatiya Janata Party,53828,Rajasthan - Udaipurwati
404,BHAGWANARAM SAINI,Indian National Congress,52633,Rajasthan - Udaipurwati
405,MOOLCHAND,Communist Party of India  (Marxist),1771,Rajasthan - Udaipurwati
406,SANDEEP,Independent,1694,Rajasthan - Udaipurwati
407,KRISHAN KUMAR,Loktantrik Janta Dal,970,Rajasthan - Udaipurwati
408,DR. SUMAN KULHARI,Rashtriya Loktantrik Party,573,Rajasthan - Udaipurwati
409,BHIMA SINGH,Independent,471,Rajasthan - Udaipurwati
410,SUBHASH,Independent,345,Rajasthan - Udaipurwati
411,HARI SINGH BHUPESH,Bahujan Mukti Party,241,Rajasthan - Udaipurwati
412,BAL RAM,Independent,174,Rajasthan - Udaipurwati
413,NISHA KANWAR,Independent,114,Rajasthan - Udaipurwati
414,None of the Above,None of the Above,1650,Rajasthan - Udaipurwati
415,JITENDRA SINGH,Indian National Congress,57153,Rajasthan - Khetri
416,DHARMPAL,Bharatiya Janata Party,56196,Rajasthan - Khetri
417,POORANMAL SAINI,Bahujan Samaj Party,35166,Rajasthan - Khetri
418,AMAR SINGH,Rashtriya Loktantrik Party,1314,Rajasthan - Khetri
419,RISHAL SINGH,Independent,610,Rajasthan - Khetri
420,RAJESH,Independent,507,Rajasthan - Khetri
421,TARACHAND,Bharat Vahini Party,178,Rajasthan - Khetri
422,BAJRANG,Independent,171,Rajasthan - Khetri
423,UMRAO SINGH KADYAN,Aam Aadmi Party,165,Rajasthan - Khetri
424,PRIYANKA,Abhinav Rajasthan Party,154,Rajasthan - Khetri
425,RAMSWROOP,Bharatiya Yuva Shakti,149,Rajasthan - Khetri
426,None of the Above,None of the Above,1373,Rajasthan - Khetri
427,HAKAM ALI KHAN,Indian National Congress,80354,Rajasthan - Fatehpur
428,SUNITA KUMARI,Bharatiya Janata Party,79494,Rajasthan - Fatehpur
429,ABID HUSSAIN,Communist Party of India  (Marxist),3931,Rajasthan - Fatehpur
430,ZARINA BANU,Bahujan Samaj Party,1965,Rajasthan - Fatehpur
431,YAKUB,Independent,1052,Rajasthan - Fatehpur
432,GULAB ALBELA KUMHAR,Independent,726,Rajasthan - Fatehpur
433,CHOTHMAL,Bahujan Sangharshh Dal,721,Rajasthan - Fatehpur
434,TAYAB KHAN,Aam Aadmi Party,475,Rajasthan - Fatehpur
435,SAMPAT KUMAR CHAUMAL,Independent,413,Rajasthan - Fatehpur
436,MUKESH KUMAR,Dalit Soshit Pichhara Varg  Adhikar Dal,233,Rajasthan - Fatehpur
437,NARESH KUMAR,Bharatiya Yuva Shakti,98,Rajasthan - Fatehpur
438,None of the Above,None of the Above,1165,Rajasthan - Fatehpur
439,GOVIND SINGH DOTASARA,Indian National Congress,98227,Rajasthan - Lachhmangarh
440,DINESH JOSHI,Bharatiya Janata Party,76175,Rajasthan - Lachhmangarh
441,BRIJENDRA SINGH,Communist Party of India  (Marxist),8617,Rajasthan - Lachhmangarh
442,LIYAKAT,Independent,1225,Rajasthan - Lachhmangarh
443,GANESH JOSHI,Bahujan Samaj Party,1071,Rajasthan - Lachhmangarh
444,RAINA KUMARI,Independent,1066,Rajasthan - Lachhmangarh
445,MAHAVEER PRASAD,Dalit Soshit Pichhara Varg  Adhikar Dal,443,Rajasthan - Lachhmangarh
446,BHAWANI SINGH,Independent,425,Rajasthan - Lachhmangarh
447,CHHOTELAL,Bahujan Mukti Party,269,Rajasthan - Lachhmangarh
448,OM PRAKASH,Aam Aadmi Party,265,Rajasthan - Lachhmangarh
449,SUBHKARAN BIWAL,Dalit Kranti Dal,247,Rajasthan - Lachhmangarh
450,DINESH KUMAR,Independent,224,Rajasthan - Lachhmangarh
451,NEMI CHAND,Independent,150,Rajasthan - Lachhmangarh
452,NEMICHAND,Maharana Kranti Party,106,Rajasthan - Lachhmangarh
453,None of the Above,None of the Above,1206,Rajasthan - Lachhmangarh
454,PARASRAM MORDIA,Indian National Congress,75142,Rajasthan - DHOD
455,PEMA RAM,Communist Party of India  (Marxist),61089,Rajasthan - DHOD
456,GORDHAN,Bharatiya Janata Party,46667,Rajasthan - DHOD
457,PEMARAM,Independent,1702,Rajasthan - DHOD
458,BHAGIRATH,Independent,1323,Rajasthan - DHOD
459,BHARAT SINGH,Bahujan Samaj Party,916,Rajasthan - DHOD
460,PARSARAM,Independent,770,Rajasthan - DHOD
461,BAJRANG LAL,Ambedkarite Party of India,498,Rajasthan - DHOD
462,MAHENDRA,Aam Aadmi Party,196,Rajasthan - DHOD
463,OMPRAKASH,Independent,161,Rajasthan - DHOD
464,None of the Above,None of the Above,1775,Rajasthan - DHOD
465,RAJENDRA PAREEK,Indian National Congress,83472,Rajasthan - Sikar
466,RATANLAL JALDHARI,Bharatiya Janata Party,68292,Rajasthan - Sikar
467,WAHID CHOWHAN,Rashtriya Loktantrik Party,28906,Rajasthan - Sikar
468,ABDUL QAIYOOM QURESHI,Communist Party of India  (Marxist),1676,Rajasthan - Sikar
469,BAL KISHAN JOSHI,Independent,1022,Rajasthan - Sikar
470,RAJENDRA KUMAR,Independent,953,Rajasthan - Sikar
471,BHAGIRATH SINGH KHARRANTE MAHAN,Independent,775,Rajasthan - Sikar
472,MUKESH RAD,Bahujan Samaj Party,759,Rajasthan - Sikar
473,CHANDAN SINGH PALAWAT,Bharat Lok Sewak Party,730,Rajasthan - Sikar
474,LOVE KUMAR,Aam Aadmi Party,691,Rajasthan - Sikar
475,ARUN,Independent,667,Rajasthan - Sikar
476,MOHMMED KASIM KHILJI,Indian Peoples Green Party,337,Rajasthan - Sikar
477,None of the Above,None of the Above,2031,Rajasthan - Sikar
478,VIRENDRA SINGH,Indian National Congress,64931,Rajasthan - DANTARAMGARH
479,HARISH CHAND KUMAWAT,Bharatiya Janata Party,64011,Rajasthan - DANTARAMGARH
480,AMRARAM,Communist Party of India  (Marxist),45186,Rajasthan - DANTARAMGARH
481,KALU RAM,Bahujan Samaj Party,3661,Rajasthan - DANTARAMGARH
482,VIJENDRA,Independent,2782,Rajasthan - DANTARAMGARH
483,HANUMAN SINGH,Independent,1750,Rajasthan - DANTARAMGARH
484,PRAHLAD BARWAR,Ambedkarite Party of India,1625,Rajasthan - DANTARAMGARH
485,RAM SINGH,Independent,1414,Rajasthan - DANTARAMGARH
486,MUKESH KUMAR,Rashtriya Loktantrik Party,397,Rajasthan - DANTARAMGARH
487,SANWARMAL,Independent,383,Rajasthan - DANTARAMGARH
488,BANSHILAL KATARIA,Independent,301,Rajasthan - DANTARAMGARH
489,ASHOK KUMAR VERMA,Independent,265,Rajasthan - DANTARAMGARH
490,MAHAVIR PRASAD KUMAWAT,Bharat Vahini Party,246,Rajasthan - DANTARAMGARH
491,KAMAL KISHOR,Independent,239,Rajasthan - DANTARAMGARH
492,RAMCHANDRA,Indian Peoples Green Party,175,Rajasthan - DANTARAMGARH
493,RAMESHWAR LAL,Abhinav Rajasthan Party,147,Rajasthan - DANTARAMGARH
494,None of the Above,None of the Above,1188,Rajasthan - DANTARAMGARH
495,MAHADEO SINGH,Independent,53864,Rajasthan - Khandela
496,BANSHIDHAR BAJIYA,Bharatiya Janata Party,49516,Rajasthan - Khandela
497,SUBHASH MEEL,Indian National Congress,44772,Rajasthan - Khandela
498,SUBHASH NEHARA,Communist Party of India  (Marxist),16378,Rajasthan - Khandela
499,HARI RAM,Independent,1439,Rajasthan - Khandela
500,GOKUL CHAND,Aam Aadmi Party,998,Rajasthan - Khandela
501,SHISH RAM,Independent,764,Rajasthan - Khandela
502,SHIVDAYAL PALIWAL,Independent,691,Rajasthan - Khandela
503,PHOOLCHAND,Independent,466,Rajasthan - Khandela
504,RANVEER SINGH,Independent,393,Rajasthan - Khandela
505,DOOL CHAND KUMAWAT,Independent,347,Rajasthan - Khandela
506,DEEPAK,Nationalist People's Front,228,Rajasthan - Khandela
507,TEJPAL,Independent,225,Rajasthan - Khandela
508,VIKARM SINGH,Independent,188,Rajasthan - Khandela
509,None of the Above,None of the Above,2306,Rajasthan - Khandela
510,SURESH MODI,Indian National Congress,66287,Rajasthan - Neem ka Thana
511,PREM SINGH BAJORE,Bharatiya Janata Party,53672,Rajasthan - Neem ka Thana
512,RAMESH KHANDELWAL,Rashtriya Loktantrik Party,25620,Rajasthan - Neem ka Thana
513,RAJESH BHAIDA,Bahujan Samaj Party,13211,Rajasthan - Neem ka Thana
514,MANJU SAINI,Independent,9140,Rajasthan - Neem ka Thana
515,JAIRAM SINGH DABLA,Swaraj India,3347,Rajasthan - Neem ka Thana
516,MOHAN YADAV,Bharatiya Yuva Shakti,1373,Rajasthan - Neem ka Thana
517,NANDARAM,Independent,1192,Rajasthan - Neem ka Thana
518,PREM SINGH,Independent,877,Rajasthan - Neem ka Thana
519,BHAWANI SHANKAR,Aam Aadmi Party,572,Rajasthan - Neem ka Thana
520,SATISH INSHA,Independent,565,Rajasthan - Neem ka Thana
521,SUSHIL KUMAR,Independent,330,Rajasthan - Neem ka Thana
522,DASHRATH KUMAR SAIN,Independent,316,Rajasthan - Neem ka Thana
523,INDRAPAL,Independent,304,Rajasthan - Neem ka Thana
524,GAJANAND SAINI,Independent,251,Rajasthan - Neem ka Thana
525,RAMESH SHARMA,Bhartiya Party,246,Rajasthan - Neem ka Thana
526,BHOPAL SINGH,Loktantrik Janta Dal,208,Rajasthan - Neem ka Thana
527,NARENDRA MOGA,Shiv Sena,207,Rajasthan - Neem ka Thana
528,None of the Above,None of the Above,861,Rajasthan - Neem ka Thana
529,DEEPENDRA SINGH,Indian National Congress,90941,Rajasthan - Srimadhopur
530,JHABAR SINGH KHARRA,Bharatiya Janata Party,79131,Rajasthan - Srimadhopur
531,NARENDRA MAHAROLI,Independent,6285,Rajasthan - Srimadhopur
532,DURGA PRASAD KHARRA,Independent,3092,Rajasthan - Srimadhopur
533,RAM KISHOR,Bahujan Samaj Party,1736,Rajasthan - Srimadhopur
534,SANWAR MAL,Independent,1308,Rajasthan - Srimadhopur
535,MAKKHAN LAL SHARMA,Bharat Vahini Party,574,Rajasthan - Srimadhopur
536,KAMLESH KUMAR SAIN SAIN,Aam Aadmi Party,287,Rajasthan - Srimadhopur
537,BHARAT YADAV,Independent,259,Rajasthan - Srimadhopur
538,RAMAVATAR,Loktantrik Janta Dal,193,Rajasthan - Srimadhopur
539,AD. GOVIND NARAYAN TANWAR,Independent,105,Rajasthan - Srimadhopur
540,None of the Above,None of the Above,1796,Rajasthan - Srimadhopur
541,RAJENDRA SINGH YADAV,Indian National Congress,57114,Rajasthan - Kotputli 
542,MUKESH GOYAL,Bharatiya Janata Party,43238,Rajasthan - Kotputli 
543,RAMSWAROOP,Rashtriya Loktantrik Party,28353,Rajasthan - Kotputli 
544,HANSRAJ,Independent,24960,Rajasthan - Kotputli 
545,HEMRAJ,Independent,1064,Rajasthan - Kotputli 
546,SATYANARAYAN AGARWAL,Aam Aadmi Party,839,Rajasthan - Kotputli 
547,SUGAN BHAI,Bahujan Samaj Party,728,Rajasthan - Kotputli 
548,BABULAL GURJAR,Bharatiya Yuva Shakti,718,Rajasthan - Kotputli 
549,PRADEEP KUMAR YADAV,Bhartiya Panchyat Party,624,Rajasthan - Kotputli 
550,MAHESH KUMAR GURJAR,Abhinav Rajasthan Party,384,Rajasthan - Kotputli 
551,None of the Above,None of the Above,1666,Rajasthan - Kotputli 
552,INDRAJ SINGH GURJAR,Indian National Congress,59427,Rajasthan - Viratnagar
553,KULDEEP DHANKAD,Independent,40060,Rajasthan - Viratnagar
554,DR. PHOOLCHAND BHINDA,Bharatiya Janata Party,23058,Rajasthan - Viratnagar
555,RATNA KUMARI,Independent,9026,Rajasthan - Viratnagar
556,RAGHUVEER PRASAD MEENA,Independent,5690,Rajasthan - Viratnagar
557,SACHIN VERMA,Bahujan Samaj Party,5139,Rajasthan - Viratnagar
558,VIKRAM SINGH PURUSHARTHI,Bharat Vahini Party,3543,Rajasthan - Viratnagar
559,HARIDAS,Independent,1633,Rajasthan - Viratnagar
560,SUBHASH CHANDRA SHARMA,Independent,1183,Rajasthan - Viratnagar
561,KANHAIYA LAL,Independent,1138,Rajasthan - Viratnagar
562,PUSKAR KUMAR SHARMA,Aam Aadmi Party,930,Rajasthan - Viratnagar
563,HARISINGH SHEKHAWAT,Independent,786,Rajasthan - Viratnagar
564,CHANDRA PRAKASH TANWAR,Ambedkarite Party of India,720,Rajasthan - Viratnagar
565,SANNILATA,Rashtriya Loktantrik Party,638,Rajasthan - Viratnagar
566,RATAN SINGH TEJASI,Abhinav Rajasthan Party,479,Rajasthan - Viratnagar
567,PAPPU RAM,Nationalist People's Front,399,Rajasthan - Viratnagar
568,ROHITASH SAINI,Republican Party of India (A),268,Rajasthan - Viratnagar
569,None of the Above,None of the Above,501,Rajasthan - Viratnagar
570,ALOK BENIWAL,Independent,66538,Rajasthan - Shahpura
571,MANISH YADAV,Indian National Congress,62683,Rajasthan - Shahpura
572,RAO RAJENDRA SINGH,Bharatiya Janata Party,40215,Rajasthan - Shahpura
573,KALU RAM,Independent,975,Rajasthan - Shahpura
574,RAMAVATAR VERMA,Bahujan Samaj Party,747,Rajasthan - Shahpura
575,SHIVANI KUMAWAT,Independent,614,Rajasthan - Shahpura
576,RAJENDRA SINGH BIKA,Bharatiya Yuva Shakti,401,Rajasthan - Shahpura
577,MAHENDRA KUMAR ATAL,Independent,199,Rajasthan - Shahpura
578,RAJENDRA SAINI,Independent,197,Rajasthan - Shahpura
579,None of the Above,None of the Above,1432,Rajasthan - Shahpura
580,RAMLAL SHARMA,Bharatiya Janata Party,70183,Rajasthan - Chomu
581,BHAGWAN SAHAI SAINI,Indian National Congress,68895,Rajasthan - Chomu
582,CHHUTTAN LAL YADAV,Rashtriya Loktantrik Party,39042,Rajasthan - Chomu
583,RAVIKANT SHARMA,Independent,1401,Rajasthan - Chomu
584,PAWAN KUMAR,Aam Aadmi Party,1104,Rajasthan - Chomu
585,RAMGOPAL,Bahujan Samaj Party,1079,Rajasthan - Chomu
586,SITARAM YADAV,Independent,931,Rajasthan - Chomu
587,HARIRAM SONKARIA,Ambedkarite Party of India,419,Rajasthan - Chomu
588,BABU LAL BARALA,Bhartiya Panchyat Party,397,Rajasthan - Chomu
589,TRIBHUWAN SINGH,Independent,371,Rajasthan - Chomu
590,MOHAMMAD RAFIK,Independent,256,Rajasthan - Chomu
591,"DR. MAHESH KUMAR GANGWAL	",Lok Jan Shakti Party,138,Rajasthan - Chomu
592,BASANT LAL MEEL,Independent,134,Rajasthan - Chomu
593,PAWAN KUMAR SHARMA,Independent,102,Rajasthan - Chomu
594,AADIL KHAN,Independent,91,Rajasthan - Chomu
595,None of the Above,None of the Above,1859,Rajasthan - Chomu
596,NIRMAL KUMAWAT,Bharatiya Janata Party,73530,Rajasthan - Phulera 
597,VIDHYADHAR SINGH,Indian National Congress,72398,Rajasthan - Phulera 
598,SPURDHA CHOUDHARY,Rashtriya Loktantrik Party,9946,Rajasthan - Phulera 
599,DEEN DAYAL KUMAWAT ALIAS D.D.,Independent,8716,Rajasthan - Phulera 
600,PRAKASH CHAND,Bahujan Samaj Party,5777,Rajasthan - Phulera 
601,BANWARI LAL JAT,Communist Party of India  (Marxist),3711,Rajasthan - Phulera 
602,SURENDRA KUMAR PRAJAPAT,Bharat Vahini Party,1210,Rajasthan - Phulera 
603,PAWAN KUMAR MODI,Independent,1163,Rajasthan - Phulera 
604,GANGA RAM KUMAWAT,Nationalist People's Front,762,Rajasthan - Phulera 
605,BHAGWAN SAHAY VERMA,Ambedkarite Party of India,740,Rajasthan - Phulera 
606,SURENDRA SINGH,Naya Bharat Party,642,Rajasthan - Phulera 
607,KANARAM KUMAWAT,Independent,583,Rajasthan - Phulera 
608,RAMCHANDRA JAT,Bharatiya Yuva Shakti,349,Rajasthan - Phulera 
609,SITARAM SAINI,Republican Party of India (A),257,Rajasthan - Phulera 
610,SANWAR MAL,Independent,236,Rajasthan - Phulera 
611,DILIP AGARWAL,Aam Aadmi Party,234,Rajasthan - Phulera 
612,GIRDHARI LAL,Abhinav Rajasthan Party,210,Rajasthan - Phulera 
613,LAXMAN SINGH JADETA,Jago Party,143,Rajasthan - Phulera 
614,None of the Above,None of the Above,652,Rajasthan - Phulera 
615,BABULAL NAGAR,Independent,68769,Rajasthan - Dudu 
616,DR. PREM CHAND BAIRWA,Bharatiya Janata Party,53990,Rajasthan - Dudu 
617,RITESH BAIRWA,Indian National Congress,28798,Rajasthan - Dudu 
618,SHANKAR LAL NAROLIA,Rashtriya Loktantrik Party,18948,Rajasthan - Dudu 
619,RAMESH KUMAR,Independent,1443,Rajasthan - Dudu 
620,GOPAL LAL BAIRWA,Bharatiya Yuva Shakti,1393,Rajasthan - Dudu 
621,JITENDRA KUMAR SURYAWANSHI (BAIRWA),Bahujan Samaj Party,1297,Rajasthan - Dudu 
622,NANAK RAM KHATEEK,Aam Aadmi Party,605,Rajasthan - Dudu 
623,RAMLAL,Akhil Bhartiya Aamjan Party,429,Rajasthan - Dudu 
624,MANOJ KUMAR JATOLIA,Khushhal Kisan Party,285,Rajasthan - Dudu 
625,None of the Above,None of the Above,1496,Rajasthan - Dudu 
626,LALCHAND KATARIA,Indian National Congress,127185,Rajasthan - Jhotwara
627,RAJPAL SINGH SHEKHAWAT,Bharatiya Janata Party,116438,Rajasthan - Jhotwara
628,CHHOTU RAM KUMAWAT,Bharat Vahini Party,5733,Rajasthan - Jhotwara
629,JUGAL KISHORE SHARMA,Aam Aadmi Party,1335,Rajasthan - Jhotwara
630,KISHAN GOUR,Independent,1285,Rajasthan - Jhotwara
631,YOGESH JADOUN,Bahujan Samaj Party,1177,Rajasthan - Jhotwara
632,DILEEP KUMAR SHARMA (SIRSI),Independent,992,Rajasthan - Jhotwara
633,ASHISH KUMAR SHARMA,Bharat Lok Sewak Party,798,Rajasthan - Jhotwara
634,LAV KUMAR KUMAWAT,Independent,726,Rajasthan - Jhotwara
635,JITENDRA SINGH,Independent,662,Rajasthan - Jhotwara
636,RAJESH KUMAR MINA,Independent,631,Rajasthan - Jhotwara
637,MADAN SINGH TANWAR,Rajasthan Janta Party,428,Rajasthan - Jhotwara
638,MOHAN LAL KUMHAR,Nationalist People's Front,400,Rajasthan - Jhotwara
639,ASEEM VERMA,Independent,342,Rajasthan - Jhotwara
640,PRAHALAD CHOUDHARY,Independent,341,Rajasthan - Jhotwara
641,SNEH LATA,Independent,277,Rajasthan - Jhotwara
642,KHEM SINGH CHOUHAN,Indian Peoples Green Party,211,Rajasthan - Jhotwara
643,ROOP NARAYAN KUMAWAT,Bharatiya Jan Kranti Dal (Democratic),200,Rajasthan - Jhotwara
644,NATWAR LAL SHARMA,Janata Dal  (United),199,Rajasthan - Jhotwara
645,DEEPENDRA SINGH NARUKA,Jago Party,189,Rajasthan - Jhotwara
646,None of the Above,None of the Above,1770,Rajasthan - Jhotwara
647,SATISH POONIA,Bharatiya Janata Party,93132,Rajasthan - Amber
648,PRASHANT SHARMA,Indian National Congress,79856,Rajasthan - Amber
649,NAVIN PILANIYA,Bahujan Samaj Party,15994,Rajasthan - Amber
650,RAMJI LAL YADAV,Communist Party of India  (Marxist),1547,Rajasthan - Amber
651,LAL CHAND SHARMA,Independent,1537,Rajasthan - Amber
652,POORAN CHAND VERMA,Ambedkarite Party of India,1470,Rajasthan - Amber
653,NATWAR SINGH,Independent,1401,Rajasthan - Amber
654,MOHAN LAL SHARMA,Independent,687,Rajasthan - Amber
655,GAURU SINGH DEVAL,Independent,579,Rajasthan - Amber
656,VINOD MEENA,Shiv Sena,383,Rajasthan - Amber
657,AFZAL KHAN,Independent,361,Rajasthan - Amber
658,HEM CHAND SAINI,Aam Aadmi Party,271,Rajasthan - Amber
659,KARISHAN KUMAR CHOUDHARY,Independent,231,Rajasthan - Amber
660,RAMESH KUMAR SHARMA,Bharatiya Yuva Shakti,196,Rajasthan - Amber
661,RAMESH CHAND MEENA,Panch Party,161,Rajasthan - Amber
662,None of the Above,None of the Above,1678,Rajasthan - Amber
663,GOPAL LAL MEENA,Indian National Congress,89165,Rajasthan - Jamwa ramgarh 
664,MAHENDRA PAL MEENA,Bharatiya Janata Party,67481,Rajasthan - Jamwa ramgarh 
665,MEERA DEVI,Independent,1042,Rajasthan - Jamwa ramgarh 
666,KISHAN LAL MEENA,Aam Aadmi Party,908,Rajasthan - Jamwa ramgarh 
667,MALIRAM NAYAKA,Independent,331,Rajasthan - Jamwa ramgarh 
668,LEELADHAR MEENA,Rashtriya Loktantrik Party,155,Rajasthan - Jamwa ramgarh 
669,MADAN LAL VERMA,Bharat Vahini Party,147,Rajasthan - Jamwa ramgarh 
670,HANUMAN SAHAYA DHANKA,Bhartiya Panchyat Party,128,Rajasthan - Jamwa ramgarh 
671,RAMESH CHAND DHANKA,Indian Peoples Green Party,125,Rajasthan - Jamwa ramgarh 
672,RIDDHI CHAND MEENA,Bharatiya Yuva Shakti,95,Rajasthan - Jamwa ramgarh 
673,RAM PRVESH DABLA,Bharatiya Rashtravadi Samanta Party,95,Rajasthan - Jamwa ramgarh 
674,None of the Above,None of the Above,2195,Rajasthan - Jamwa ramgarh 
675,DR. MAHESH JOSHI,Indian National Congress,85474,Rajasthan - Hawa mahal
676,SURENDRA PAREEK,Bharatiya Janata Party,76192,Rajasthan - Hawa mahal
677,VIMAL AGRAWAL,Bharat Vahini Party,1437,Rajasthan - Hawa mahal
678,YAKUB KHAN,Independent,1348,Rajasthan - Hawa mahal
679,SAHIDA TARIK,Bahujan Samaj Party,898,Rajasthan - Hawa mahal
680,RAFIK,Independent,743,Rajasthan - Hawa mahal
681,PURUSHOTTAM SHARMA,Independent,390,Rajasthan - Hawa mahal
682,ASHA DEVI SHARMA,Bharatiya Jan Kranti Dal (Democratic),381,Rajasthan - Hawa mahal
683,SIRAJUDDIN,Independent,347,Rajasthan - Hawa mahal
684,KAYUM IBRAHIM ABBAS,Aam Aadmi Party,341,Rajasthan - Hawa mahal
685,MEERA DEVI,Independent,248,Rajasthan - Hawa mahal
686,BAHADUR KHAN,All India Hindustan Congress Party,209,Rajasthan - Hawa mahal
687,VINOD,Independent,174,Rajasthan - Hawa mahal
688,KAPIL KAUSHIK,Jago Party,144,Rajasthan - Hawa mahal
689,GIRRAJ GUJAR,Independent,141,Rajasthan - Hawa mahal
690,NOUSHAD,Independent,137,Rajasthan - Hawa mahal
691,SMT. KAMLESH SHARMA,Nationalist People's Front,113,Rajasthan - Hawa mahal
692,MOHAMMED PARAWEZ,Janata Dal  (Secular),84,Rajasthan - Hawa mahal
693,GIRISH SHARMA,Bharatiya Yuva Shakti,69,Rajasthan - Hawa mahal
694,None of the Above,None of the Above,796,Rajasthan - Hawa mahal
695,NARPAT SINGH RAJVI,Bharatiya Janata Party,95599,Rajasthan - Vidhyadhar Nagar
696,SITARAM AGARWAL,Indian National Congress,64367,Rajasthan - Vidhyadhar Nagar
697,VIKRAM SINGH SHEKHAWAT,Independent,50382,Rajasthan - Vidhyadhar Nagar
698,PAWAN KUMAR GOYAL,Bharat Vahini Party,3504,Rajasthan - Vidhyadhar Nagar
699,MADAN LAL BENIWAL,Bahujan Samaj Party,2601,Rajasthan - Vidhyadhar Nagar
700,KAMAL KISHORE GUPTA,Aam Aadmi Party,1061,Rajasthan - Vidhyadhar Nagar
701,GAURAV SHARMA,Jago Party,822,Rajasthan - Vidhyadhar Nagar
702,INDER SINGH CHOUHAAN,Independent,790,Rajasthan - Vidhyadhar Nagar
703,ANITA SHEORAN,Rashtriya Atulya Yuva Party,667,Rajasthan - Vidhyadhar Nagar
704,SUSHIL KUMAR SINHA,Janata Dal  (United),588,Rajasthan - Vidhyadhar Nagar
705,SONU SINGH RATHORE,Bharatiya Yuva Shakti,522,Rajasthan - Vidhyadhar Nagar
706,DEVENDRA SINGH SAINI,Independent,482,Rajasthan - Vidhyadhar Nagar
707,VINOD KUMAR JANGID,Proutist Sarva Samaj,476,Rajasthan - Vidhyadhar Nagar
708,RAVI CHARAN,Independent,413,Rajasthan - Vidhyadhar Nagar
709,SHANKER LAL KUMAWAT,Bharatiya Jan Kranti Dal (Democratic),397,Rajasthan - Vidhyadhar Nagar
710,GIRDHARI LAL RAIGAR,Ambedkarite Party of India,379,Rajasthan - Vidhyadhar Nagar
711,ANIL KUMAR SHARMA,Republican Party of India (A),292,Rajasthan - Vidhyadhar Nagar
712,SANDEEP ROHILLA,Independent,255,Rajasthan - Vidhyadhar Nagar
